linkId,plannedSessionId,activityId,matchScore,rpe(1-10),comments
6c853e2d-ee16-4bdd-9128-d9ca3acd5d19,dddb2017-e71f-4a3b-a4f9-a1e0b206f3db,16066268370,0.872,2,
31635493-e0c5-465a-99ca-ddd4ca5fab17,ffe0a251-097f-425c-8634-679aa006a96c,16078947736,0.995,7,
552e9a3a-b38c-4e02-b3c4-478e21052480,d048cf41-faaf-4c2d-8271-e80eff933dcc,16121104478,0.586,5,
a0866f4e-0e37-42d9-a340-4259aebca7c2,bed30bc0-24db-44d9-86f0-df47f1bc0736,16106633286,0.37,1,
7cadd89a-d31f-4318-8d0f-d13703b50f84,2d77a7e0-9e64-4105-abe1-6840d7b0856b,16088525011,0.896,3,
c076e473-1f3a-4483-b4f8-2a26da0820fd,84472c55-3363-4b5a-80ac-18784a0a7467,16141308183,0.931,2,
61bcec71-acb9-4f96-b19f-d4bfd1c40310,2d743ed7-a4b7-433f-acc2-25c170c5f12b,16183294852,0.83,7,
4bdb9c56-d4ac-41e2-b373-0dbcb8cca1e6,b748deb7-1ee1-456a-9178-d814fe4a2659,16163570178,0.93,5,
0f9002ac-4f99-4fba-b20e-4d20fefab313,6ab9821b-c76e-4479-a7d6-47ae104fccc5,16183294756,0.402,2,
