segmentId,type,startKm,endKm,distanceKm,elevGainM,elevLossM,avgGrade,isAidSplit,distanceEqKm,speedEqKmh,speedKmh,timeSec
0,run_up,0.0,5.568583807461309,5.568583807461309,150.56,17.600000000000023,0.027037395001268665,False,7.074183807461309,10.0,0.0,2547
1,down,5.568583807461309,9.267877162344934,3.6992933548836255,22.800000000000068,182.88,-0.04943646865922942,False,3.927293354883626,0.0,11.0,1211
2,run_up,9.267877162344934,13.584761510403977,4.316884348059043,339.4399999999998,0.4399999999998272,0.07863078383200578,False,7.711284348059041,10.0,0.0,2776
3,flat,13.584761510403977,14.542310620224299,0.9575491098203219,7.120000000000118,13.040000000000191,-0.00618245052842347,False,1.0287491098203232,10.0,0.0,370
4,down,14.542310620224299,17.12812961351154,2.5858189932872406,4.039999999999964,278.67999999999995,-0.10777243137414118,False,2.62621899328724,0.0,11.0,846
5,steep_up,17.12812961351154,18.373379312563497,1.245249699051957,229.39999999999998,0.0,0.18422008065904252,False,3.539249699051957,12.0,0.0,1062
6,flat,18.373379312563497,19.287887212371682,0.9145078998081857,15.56000000000006,27.720000000000027,-0.013296768680238278,False,1.0701078998081863,10.0,0.0,385
7,run_up,19.287887212371682,19.94083372895741,0.6529465165857289,45.719999999999914,1.7999999999999545,0.0700210489506411,False,1.110146516585728,10.0,0.0,400
8,flat,19.94083372895741,21.98667054351423,2.045836814556818,16.840000000000032,29.200000000000045,-0.006041537581127904,False,2.214236814556818,10.0,0.0,797
9,down,21.98667054351423,23.47623671483695,1.4895661713227213,69.32000000000005,117.04000000000008,-0.032036173295762416,False,2.1827661713227218,0.0,11.0,487
10,run_up,23.47623671483695,24.258481551317825,0.7822448364808743,61.63999999999976,13.199999999999818,0.07879885826706488,False,1.398644836480872,10.0,0.0,504
11,steep_up,24.258481551317825,24.74450018436465,0.48601863304682524,68.48000000000013,0.0,0.14089994774624712,False,1.1708186330468267,12.0,0.0,351
12,run_up,24.74450018436465,25.668218735509004,0.9237185511443542,48.919999999999845,9.999999999999773,0.05295985442686521,False,1.4129185511443527,10.0,0.0,509
13,flat,25.668218735509004,26.78487409263264,1.116655357123637,24.7199999999998,20.439999999999714,0.003832874640054408,False,1.3638553571236351,10.0,0.0,491
14,down,26.78487409263264,28.623127898918938,1.8382538062862963,6.240000000000123,103.28000000000009,-0.05618375419477569,False,1.9006538062862974,0.0,11.0,602
15,run_up,28.623127898918938,29.531542141006504,0.9084142420875665,43.07999999999993,0.35999999999989996,0.047423298759606235,False,1.3392142420875657,10.0,0.0,482
16,flat,29.531542141006504,30.84235791341212,1.3108157724056149,32.679999999999836,18.839999999999918,0.010558310550841702,False,1.6376157724056133,10.0,0.0,590
17,down,30.84235791341212,32.850676819225434,2.008318905813315,1.9599999999999227,141.2399999999999,-0.07032747617480677,False,2.0279189058133142,0.0,11.0,657
18,run_up,32.850676819225434,35.5742963727725,2.723619553547067,94.12000000000012,13.120000000000005,0.03455695560616177,False,3.6648195535470682,10.0,0.0,1319
19,down,35.5742963727725,38.65460995854602,3.080313585773517,28.719999999999686,120.91999999999973,-0.03925574349263364,False,3.367513585773514,0.0,11.0,1008
20,steep_up,38.65460995854602,39.34527518496899,0.690665226422972,175.16000000000008,2.519999999999982,0.2536105674628679,False,2.4422652264229727,12.0,0.0,733
21,flat,39.34527518496899,42.06480745730094,2.7195322723319464,55.75999999999976,69.11999999999978,-0.004912609471828063,False,3.277132272331944,10.0,0.0,1180
22,run_up,42.06480745730094,43.77029707989286,1.7054896225919265,104.03999999999996,21.039999999999964,0.061003009705731685,False,2.745889622591926,10.0,0.0,989
23,down,43.77029707989286,48.04220985936963,4.271912779476764,8.360000000000014,342.5999999999999,-0.08019826660458233,False,4.355512779476765,0.0,11.0,1398
24,run_up,48.04220985936963,48.876495935350874,0.8342860759812467,56.520000000000095,9.32000000000005,0.06774654597168485,False,1.3994860759812475,10.0,0.0,504
25,down,48.876495935350874,49.90542283480356,1.028926899452685,15.159999999999968,119.0,-0.1156544746408121,False,1.1805268994526847,0.0,11.0,337
26,run_up,49.90542283480356,50.800956208744175,0.8955333739406157,33.96000000000015,11.960000000000036,0.037921534795030534,False,1.2351333739406172,10.0,0.0,445
27,down,50.800956208744175,52.60172789658061,1.8007716878364377,17.039999999999964,160.64,-0.08920620036680117,False,1.9711716878364374,0.0,11.0,589
28,steep_up,52.60172789658061,53.37196774225132,0.7702398456707087,101.80000000000001,0.0,0.13216662390577147,False,1.788239845670709,12.0,0.0,536
29,run_up,53.37196774225132,54.12396113557978,0.7519933933284619,45.44,0.5200000000000955,0.06042606278610261,False,1.2063933933284618,10.0,0.0,434
30,flat,54.12396113557978,55.25104794814489,1.1270868125651035,22.399999999999977,28.6400000000001,-0.005536396957567707,False,1.3510868125651032,10.0,0.0,486
31,down,55.25104794814489,58.77742311521157,3.526375167066682,36.960000000000036,196.60000000000008,-0.055751300042058874,False,3.8959751670666822,0.0,11.0,1154
32,flat,58.77742311521157,59.83875756474873,1.0613344495371635,1.3199999999999932,9.200000000000045,-0.008668332592060934,False,1.0745344495371634,10.0,0.0,387
33,down,59.83875756474873,63.87419876203907,4.035441197290339,12.199999999999932,88.67999999999995,-0.021975292332235084,False,4.157441197290338,0.0,11.0,1321
34,flat,63.87419876203907,69.13251103533011,5.25831227329104,86.60000000000002,73.56,0.002479883149244506,False,6.12431227329104,10.0,0.0,2205
35,down,69.13251103533011,71.34644035503429,2.213929319704178,8.360000000000014,54.72000000000003,-0.024716236201845702,False,2.297529319704178,0.0,11.0,725
36,run_up,71.34644035503429,72.58194149137212,1.235501136337831,57.0,1.6399999999999295,0.04613512551591383,False,1.805501136337831,10.0,0.0,650
37,down,72.58194149137212,75.43347024451447,2.8515287531423468,20.560000000000002,138.0,-0.04839509328037665,False,3.0571287531423468,0.0,11.0,933
38,run_up,75.43347024451447,76.43085031971097,0.997380075196503,81.63999999999999,27.279999999999973,0.08185445251040868,False,1.8137800751965028,10.0,0.0,653
39,down,76.43085031971097,77.40025049093296,0.9694001712219915,23.159999999999968,64.55999999999997,-0.06659788384256,False,1.2010001712219913,0.0,11.0,317
40,flat,77.40025049093296,78.98152446953434,1.5812739786013736,56.19999999999993,34.479999999999905,0.013735760085808296,False,2.143273978601373,10.0,0.0,772
41,down,78.98152446953434,80.02105871942616,1.0395342498918296,3.960000000000008,80.24000000000001,-0.07718841395398902,False,1.0791342498918297,0.0,11.0,340
42,flat,80.02105871942616,81.64530970765189,1.6242509882257252,10.400000000000006,9.439999999999998,0.0005910416597921718,False,1.7282509882257253,10.0,0.0,622
